name,price,image,description,DISPONIBILITÉ,gtin,Marque,Gamme PC,Gamer,Système d'exploitation,Taille de l'écran,Ecran,Ecran Tactile,Résolution Ecran,Processeur,Type Processeur,Référence Processeur,Fréquence Processeur,Mémoire Cache,Mémoire,Disque Dur,Type Disque Dur,Carte Graphique,Chipset Graphique,Clavier,Connecteurs,Destockage,Couleur,Garantie
PC Portable ASUS X543MA Celeron N4020 8Go 1To - Gris,"629,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-x543ma-celeron-n4020-8go-1to-gris-t_1.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4020 (1,10 GHz up to 2,80 GHz, 4Mo Mémoire cache, Dual-Core) - Système d'exploitation: Windows 10 Famille - Mémoire RAM: 8 Go - Disque Dur: 1 To HDD - Carte Graphique: Intel HD Graphics, avec WiFi, Bluetooth, 1x USB 3.1, 2x USB 2.0 , HDMI ,Webcam avec Micro - Couleur: Gris - Garantie: 1 an
   Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,X543MA-GQ1393W,ASUS,X543MA,Non,Windows 10 Famille,15.6 Pouces,HD,Non,1366 x 768 pixels,Intel Celeron,Dual Core,Intel® Celeron® N4020,"1,10 GHz up to 2,80 GHz",4 Mo,8 Go,1 To HDD,HDD,Graphique Intégrée,Intel HD,,"1x USB 3.1, 2x USB 2.0 , HDMI ,Webcam avec Micro",Non,Gris,1 an
PC Portable LENOVO V15 G4 AMN AMD Athlon 8Go 256Go SSD - Noir,"669,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-lenovo-v15-g4-amn-amd-athlon-8go-256go-ssd-noir.jpg,"Ecran 15.6"" Full HD - Processeur: AMD Athlon Silver 7120U (2,4 GHz up to 3.5 GHz Turbo max, L2: 1 Mo / L3: 2 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go - Disque Dur: 256Go SSD - Carte Graphique: AMD Radeon Graphics avec Wifi, Bluetooth, 2x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,82YU0044FE,LENOVO,V15 G4 AMN,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,AMD Athlon,Dual Core,AMD Athlon™ Silver 7120U,2.4GHz up to 3.5GHz Turbo max,2 Mo,8 Go,256 Go SSD,SSD,AMD Radeon,AMD Radeon,,"2x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation",Non,Noir,1 an
PC Portable LENOVO IdeaPad 3 15ADA05 AMD Athlon 8Go 1To - Noir,"679,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-lenovo-ideapad-3-15ada05-amd-athlon-8go-1to-noir.jpg,"Ecran 15.6 Full HD - Processeur: AMD Athlon Silver 3050U (2,3 GHz up to 3.2 GHz Turbo max, L2: 1 Mo / L3: 4 Mo de mémoire cache, Dual-Core) - Système d'exploitation Windows 10 Famille - Mémoire RAM: 8Go DDR4 - Disque Dur: 1To HDD - Carte Graphique: AMD Radeon Graphics avec Wifi  Bluetooth 1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combo casque/micro (3,5 mm) et lecteur de carte - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,81W101G8FG-8G,LENOVO,IDEAPAD 3,Non,Windows 10 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,AMD Athlon,Dual Core,AMD Athlon Silver 3050U ,"2,3 GHz up to 3,2 GHz Turbo max",4 Mo,8 Go,1 To HDD,HDD,AMD Radeon,AMD Radeon,,"1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x lecteur de carte, 1x prise combo casque/micro (3,5 mm), 1x connecteur d'alimentation",Non,Noir,1 an
PC Portable LENOVO IdeaPad 3 15ADA05 AMD Athlon 12Go 1To - Noir,"725,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc_portable_lenovo_ideapad_3_15ada05_amd_athlon_12go_1to_-_noir.jpg,"Ecran 15.6"" Full HD - Processeur: AMD Athlon Silver 3050U (2,3 GHz up to 3.2 GHz Turbo max, L2: 1 Mo / L3: 4 Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 10 Famille - Mémoire RAM: 12 Go - Disque Dur: 1To HDD - Carte Graphique: AMD Radeon Graphics avec Wifi, Bluetooth, 1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combo casque/micro (3,5 mm) et lecteur de carte - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,81W101G8FG-12G,LENOVO,IDEAPAD 3,Non,Windows 10 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,AMD Athlon,Dual Core,AMD Athlon Silver 3050U ,"2,3 GHz up to 3.2 GHz Turbo max",4 Mo,12 Go,1 To HDD,HDD,AMD Radeon,AMD Radeon,,"1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x lecteur de carte, 1x prise combo casque/micro (3,5 mm), 1x connecteur d'alimentation",Non,Noir,1 an
Pc Portable DELL Vostro 3400 i3 11è Gén 4Go 1To - Noir,"769,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-dell-vostro-3400-i3-11eme-gen-4go-1to-noir.jpg,"Écran 14"" HD - Processeur: Intel Core i3-1115G4 (3.00 GHz up to 4,10 GHz Turbo max , 6 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 4 Go - Disque dur: 1 To - Carte graphique: Intel HD Graphics avec WiFi, Bluetooth, 1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,V3400I3,DELL,VOSTRO 3400,Non,FreeDos,14 Pouces,HD,Non,1366 x 768 pixels,Intel Core i3,Dual Core,Intel® Core™ i3-1115G4,"3.00 GHz up to 4,10 GHz Turbo max",6 Mo,4 Go,1 To HDD,HDD,Graphique Intégrée,Intel HD,,"1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm",Non,Noir,1 an
PC Portable LENOVO IdeaPad 3 15ADA05 AMD Athlon 20Go 1To - Noir,"799,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-lenovo-ideapad-3-15ada05-amd-athlon-20g-1to-noir.jpg,"Ecran 15.6 Full HD - Processeur: AMD Athlon Silver 3050U (2,3 GHz up to 3,2 GHz Turbo max, L2: 1 Mo / L3: 4 Mo de mémoire cache, Dual-Core) - Système d'exploitation Windows 10 Famille - Mémoire RAM: 20 Go DDR4 - Disque Dur: 1To HDD - Carte Graphique: AMD Radeon Graphics avec Wifi, Bluetooth, 1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combo casque/micro (3,5 mm) et lecteur de carte - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article
 ",En arrivage,81W101G8FG-20G,LENOVO,IDEAPAD 3,Non,Windows 10 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,AMD Athlon,Dual Core,AMD Athlon Silver 3050U ,"2,3 GHz up to 3,2 GHz Turbo max",4 Mo,20 Go,1 To HDD,HDD,AMD Radeon,AMD Radeon,,"1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x lecteur de carte, 1x prise combo casque/micro (3,5 mm), 1x connecteur d'alimentation",Non,Noir,1 an
Pc Portable ACER Aspire 3 A315-58 i3 11è Gén 8Go 1To - Rouge,"859,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-acer-aspire-3-a315-58-i3-11e-gen-8go-1to-rouge-1.jpg,"Écran 15.6  Full HD - Processeur: Intel Core i3-1115G4 (3,00 GHz up to 4,10 GHz Turbo max , 6 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To HDD - Carte Graphique: Intel® UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 2 x USB 3.2 Gen 1, 1x HDMI 2.0, 1 x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm - Couleur: Rouge - Garantie: 1 an
                Retrait en Magasin ou Livraison Gratuite pour Cet Article
",En arrivage,NX.AL0EF.00K,ACER,ASPIRE 3,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i3,Dual Core,Intel Core i3-1115G4,"3,00 GHz up to 4,10 GHz Turbo max",6 Mo,8 Go,1 To HDD,HDD,Graphique Intégrée,Intel UHD,,"1x USB 2.0, 2 x USB 3.2 Gen 1, 1x HDMI 2.0, 1 x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm",Non,Rouge,1 an
Pc Portable ACER Aspire 3 A315-58 i3 11è Gén 8Go 1To - Gris,"859,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-acer-aspire-3-a315-58-i3-11e-gen-8go-1to-gris_1.jpg,"Écran 15.6  Full HD - Processeur: Intel Core i3-1115G4 (3,00 GHz up to 4,10 GHz Turbo max, 6 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To HDD - Carte Graphique: Intel® UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0 - Couleur: Gris - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article
",En arrivage,NX.ADDEF.01K,ACER,ASPIRE 3,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i3,Dual Core,Intel Core i3-1115G4,"3.00 GHz up to 4,10 GHz Turbo max",6 Mo,8 Go,1 To HDD,HDD,Graphique Intégrée,Intel UHD,,"1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0",Non,Gris,1 an
Pc Portable ACER Aspire 3 A315-58 i3 11è Gén 8Go 1To - Rouge,"859,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-acer-aspire-3-a315-58-i3-11e-gen-8go-1to.jpg,"Écran 15.6  Full HD - Processeur: Intel Core i3-1115G4 (3,00 GHz up to 4,10 GHz Turbo max, 6 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To HDD - Carte Graphique: Intel® UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0 - Couleur: Rouge - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article
",En arrivage,NX.ADGEF.00M,ACER,ASPIRE 3,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i3,Dual Core,Intel Core i3-1115G4,"3.00 GHz up to 4,10 GHz Turbo max",6 Mo,8 Go,1 To HDD,HDD,Graphique Intégrée,Intel UHD,,"1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0",Non,Rouge,1 an
PC Portable ASUS W202NA Intel Celeron N3350 4Go 64Go eMMC + Souris - Bleu Foncé ,"875,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/b/u/bu-w202na-gj0094r-15_1.jpg,"Écran 11.6 HD - Processeur: Intel Celeron N3350 ( 1,10 GHz up to 2.40 GHz, 2 Mo de mémoire cache, Dual-Core)- Système d'exploitation: Windows 10 Pro - Mémoire RAM: 4  Go DDR4 - Disque Dur: 64 G o eMMC - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB 3.2 Gen 1 Type-A, 1x HDMI - Clavier Chiclet - Couleur: Bleu Foncé - Garantie: 1 an + Souris Sans Fil                                Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,BU-W202NA-GJ0094R,ASUS,W202NA,Non,Windows 10 Pro,11.6 Pouces,HD,Non,1366 x 768 pixels,Intel Celeron,Dual Core,Intel Celeron N3350," 1,10 GHz up to 2.40 GHz",2 Mo,4 Go,64 Go eMMC,eMMC,Graphique Intégrée,Intel HD,Clavier chiclet ,"2x USB 3.2 Gen 1 Type-A, 1x HDMI,1x 3.5mm Prise audio Combiné,1x SD 4.0 lecteur de cartes",Non,Bleu Foncé,1 an
